"label","pass","seed","parameter","transformation","prior_mean","prior_sd","sample_mean","sample_min","sample_max"
"tb_a","deterministic_loc",123,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_a","deterministic_loc",123,"c","InvSoftPlus",0.15,0.25,0.146010264754295,0.146010264754295,0.146010264754295
"tb_a","stochastic_seed_123",123,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_a","stochastic_seed_123",123,"c","InvSoftPlus",0.15,0.25,0.146010264754295,0.146010264754295,0.146010264754295
"tb_a","stochastic_seed_456",456,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_a","stochastic_seed_456",456,"c","InvSoftPlus",0.15,0.25,0.146010264754295,0.146010264754295,0.146010264754295
"tb_b_n2","deterministic_loc",123,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_b_n2","deterministic_loc",123,"c","InvSoftPlus",0.05,0.25,0.0481011979281902,0.0481011979281902,0.0481011979281902
"tb_b_n2","deterministic_loc",123,"k1","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n2","deterministic_loc",123,"k2","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n2","deterministic_loc",123,"d1","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n2","deterministic_loc",123,"d2","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n2","stochastic_seed_123",123,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_b_n2","stochastic_seed_123",123,"c","InvSoftPlus",0.05,0.25,0.0481011979281902,0.0481011979281902,0.0481011979281902
"tb_b_n2","stochastic_seed_123",123,"k1","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n2","stochastic_seed_123",123,"k2","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n2","stochastic_seed_123",123,"d1","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n2","stochastic_seed_123",123,"d2","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n2","stochastic_seed_456",456,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_b_n2","stochastic_seed_456",456,"c","InvSoftPlus",0.05,0.25,0.0481011979281902,0.0481011979281902,0.0481011979281902
"tb_b_n2","stochastic_seed_456",456,"k1","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n2","stochastic_seed_456",456,"k2","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n2","stochastic_seed_456",456,"d1","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n2","stochastic_seed_456",456,"d2","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n3","deterministic_loc",123,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_b_n3","deterministic_loc",123,"c","InvSoftPlus",0.05,0.25,0.0481011979281902,0.0481011979281902,0.0481011979281902
"tb_b_n3","deterministic_loc",123,"k1","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n3","deterministic_loc",123,"k2","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n3","deterministic_loc",123,"k3","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n3","deterministic_loc",123,"d1","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n3","deterministic_loc",123,"d2","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n3","deterministic_loc",123,"d3","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n3","stochastic_seed_123",123,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_b_n3","stochastic_seed_123",123,"c","InvSoftPlus",0.05,0.25,0.0481011979281902,0.0481011979281902,0.0481011979281902
"tb_b_n3","stochastic_seed_123",123,"k1","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n3","stochastic_seed_123",123,"k2","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n3","stochastic_seed_123",123,"k3","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n3","stochastic_seed_123",123,"d1","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n3","stochastic_seed_123",123,"d2","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n3","stochastic_seed_123",123,"d3","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n3","stochastic_seed_456",456,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_b_n3","stochastic_seed_456",456,"c","InvSoftPlus",0.05,0.25,0.0481011979281902,0.0481011979281902,0.0481011979281902
"tb_b_n3","stochastic_seed_456",456,"k1","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n3","stochastic_seed_456",456,"k2","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n3","stochastic_seed_456",456,"k3","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n3","stochastic_seed_456",456,"d1","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n3","stochastic_seed_456",456,"d2","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n3","stochastic_seed_456",456,"d3","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n5","deterministic_loc",123,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_b_n5","deterministic_loc",123,"c","InvSoftPlus",0.05,0.25,0.0481011979281902,0.0481011979281902,0.0481011979281902
"tb_b_n5","deterministic_loc",123,"k1","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n5","deterministic_loc",123,"k2","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n5","deterministic_loc",123,"k3","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n5","deterministic_loc",123,"k4","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n5","deterministic_loc",123,"k5","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n5","deterministic_loc",123,"d1","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n5","deterministic_loc",123,"d2","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n5","deterministic_loc",123,"d3","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n5","deterministic_loc",123,"d4","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n5","deterministic_loc",123,"d5","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n5","stochastic_seed_123",123,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_b_n5","stochastic_seed_123",123,"c","InvSoftPlus",0.05,0.25,0.0481011979281902,0.0481011979281902,0.0481011979281902
"tb_b_n5","stochastic_seed_123",123,"k1","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n5","stochastic_seed_123",123,"k2","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n5","stochastic_seed_123",123,"k3","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n5","stochastic_seed_123",123,"k4","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n5","stochastic_seed_123",123,"k5","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n5","stochastic_seed_123",123,"d1","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n5","stochastic_seed_123",123,"d2","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n5","stochastic_seed_123",123,"d3","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n5","stochastic_seed_123",123,"d4","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n5","stochastic_seed_123",123,"d5","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n5","stochastic_seed_456",456,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_b_n5","stochastic_seed_456",456,"c","InvSoftPlus",0.05,0.25,0.0481011979281902,0.0481011979281902,0.0481011979281902
"tb_b_n5","stochastic_seed_456",456,"k1","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n5","stochastic_seed_456",456,"k2","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n5","stochastic_seed_456",456,"k3","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n5","stochastic_seed_456",456,"k4","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n5","stochastic_seed_456",456,"k5","InvSoftPlus",0.18,0.25,0.175647854804993,0.175647854804993,0.175647854804993
"tb_b_n5","stochastic_seed_456",456,"d1","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n5","stochastic_seed_456",456,"d2","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n5","stochastic_seed_456",456,"d3","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n5","stochastic_seed_456",456,"d4","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_b_n5","stochastic_seed_456",456,"d5","InvSoftPlus",0.12,0.25,0.116592362523079,0.116592362523079,0.116592362523079
"tb_c","deterministic_loc",123,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_c","deterministic_loc",123,"d","InvSoftPlus",0.14,0.25,0.135509580373764,0.135509580373764,0.135509580373764
"tb_c","deterministic_loc",123,"e","InvSoftPlus",0.06,0.25,0.0584463216364384,0.0584463216364384,0.0584463216364384
"tb_c","deterministic_loc",123,"c","InvSoftPlus",0.05,0.25,0.0490495637059212,0.0490495637059212,0.0490495637059212
"tb_c","stochastic_seed_123",123,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_c","stochastic_seed_123",123,"d","InvSoftPlus",0.14,0.25,0.135509580373764,0.135509580373764,0.135509580373764
"tb_c","stochastic_seed_123",123,"e","InvSoftPlus",0.06,0.25,0.0584463216364384,0.0584463216364384,0.0584463216364384
"tb_c","stochastic_seed_123",123,"c","InvSoftPlus",0.05,0.25,0.0490495637059212,0.0490495637059212,0.0490495637059212
"tb_c","stochastic_seed_456",456,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_c","stochastic_seed_456",456,"d","InvSoftPlus",0.14,0.25,0.135509580373764,0.135509580373764,0.135509580373764
"tb_c","stochastic_seed_456",456,"e","InvSoftPlus",0.06,0.25,0.0584463216364384,0.0584463216364384,0.0584463216364384
"tb_c","stochastic_seed_456",456,"c","InvSoftPlus",0.05,0.25,0.0490495637059212,0.0490495637059212,0.0490495637059212
"tb_e","deterministic_loc",123,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_e","deterministic_loc",123,"a","InvSigmoid",0.25,0.25,0.247850194573402,0.247850194573402,0.247850194573402
"tb_e","deterministic_loc",123,"c","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_e","stochastic_seed_123",123,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_e","stochastic_seed_123",123,"a","InvSigmoid",0.25,0.25,0.247850194573402,0.247850194573402,0.247850194573402
"tb_e","stochastic_seed_123",123,"c","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_e","stochastic_seed_456",456,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_e","stochastic_seed_456",456,"a","InvSigmoid",0.25,0.25,0.247850194573402,0.247850194573402,0.247850194573402
"tb_e","stochastic_seed_456",456,"c","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_f","deterministic_loc",123,"lambda","InvSoftPlus",0.08,0.25,0.078115776181221,0.078115776181221,0.078115776181221
"tb_f","deterministic_loc",123,"b","InvSigmoid",0.35,0.25,0.3474962413311,0.3474962413311,0.3474962413311
"tb_f","deterministic_loc",123,"c","InvSoftPlus",0.05,0.25,0.0490495637059212,0.0490495637059212,0.0490495637059212
