"label","type","term","transformation","prior_mean","prior_sd"
"tb_a","parameter","lambda","InvSoftPlus",0.08,0.25
"tb_a","parameter","c","InvSoftPlus",0.15,0.25
"tb_a","init_state_tex_prior","s_l","Identity",0,0.1
"tb_a","init_state_tex_prior","l_l","Identity",0,0.1
"tb_a","init_state_tex_prior","i_l","Identity",0,0.1
"tb_b_n2","parameter","lambda","InvSoftPlus",0.08,0.25
"tb_b_n2","parameter","c","InvSoftPlus",0.05,0.25
"tb_b_n2","parameter","k1","InvSoftPlus",0.18,0.25
"tb_b_n2","parameter","k2","InvSoftPlus",0.18,0.25
"tb_b_n2","parameter","d1","InvSoftPlus",0.12,0.25
"tb_b_n2","parameter","d2","InvSoftPlus",0.12,0.25
"tb_b_n2","init_state_tex_prior","s_l","Identity",0,0.1
"tb_b_n2","init_state_tex_prior","lf1_l","Identity",0,0.1
"tb_b_n2","init_state_tex_prior","lf2_l","Identity",0,0.1
"tb_b_n2","init_state_tex_prior","ls_l","Identity",0,0.1
"tb_b_n2","init_state_tex_prior","i_l","Identity",0,0.1
"tb_b_n3","parameter","lambda","InvSoftPlus",0.08,0.25
"tb_b_n3","parameter","c","InvSoftPlus",0.05,0.25
"tb_b_n3","parameter","k1","InvSoftPlus",0.18,0.25
"tb_b_n3","parameter","k2","InvSoftPlus",0.18,0.25
"tb_b_n3","parameter","k3","InvSoftPlus",0.18,0.25
"tb_b_n3","parameter","d1","InvSoftPlus",0.12,0.25
"tb_b_n3","parameter","d2","InvSoftPlus",0.12,0.25
"tb_b_n3","parameter","d3","InvSoftPlus",0.12,0.25
"tb_b_n3","init_state_tex_prior","s_l","Identity",0,0.1
"tb_b_n3","init_state_tex_prior","lf1_l","Identity",0,0.1
"tb_b_n3","init_state_tex_prior","lf2_l","Identity",0,0.1
"tb_b_n3","init_state_tex_prior","lf3_l","Identity",0,0.1
"tb_b_n3","init_state_tex_prior","ls_l","Identity",0,0.1
"tb_b_n3","init_state_tex_prior","i_l","Identity",0,0.1
"tb_b_n5","parameter","lambda","InvSoftPlus",0.08,0.25
"tb_b_n5","parameter","c","InvSoftPlus",0.05,0.25
"tb_b_n5","parameter","k1","InvSoftPlus",0.18,0.25
"tb_b_n5","parameter","k2","InvSoftPlus",0.18,0.25
"tb_b_n5","parameter","k3","InvSoftPlus",0.18,0.25
"tb_b_n5","parameter","k4","InvSoftPlus",0.18,0.25
"tb_b_n5","parameter","k5","InvSoftPlus",0.18,0.25
"tb_b_n5","parameter","d1","InvSoftPlus",0.12,0.25
"tb_b_n5","parameter","d2","InvSoftPlus",0.12,0.25
"tb_b_n5","parameter","d3","InvSoftPlus",0.12,0.25
"tb_b_n5","parameter","d4","InvSoftPlus",0.12,0.25
"tb_b_n5","parameter","d5","InvSoftPlus",0.12,0.25
"tb_b_n5","init_state_tex_prior","s_l","Identity",0,0.1
"tb_b_n5","init_state_tex_prior","lf1_l","Identity",0,0.1
"tb_b_n5","init_state_tex_prior","lf2_l","Identity",0,0.1
"tb_b_n5","init_state_tex_prior","lf3_l","Identity",0,0.1
"tb_b_n5","init_state_tex_prior","lf4_l","Identity",0,0.1
"tb_b_n5","init_state_tex_prior","lf5_l","Identity",0,0.1
"tb_b_n5","init_state_tex_prior","ls_l","Identity",0,0.1
"tb_b_n5","init_state_tex_prior","i_l","Identity",0,0.1
"tb_c","parameter","lambda","InvSoftPlus",0.08,0.25
"tb_c","parameter","d","InvSoftPlus",0.14,0.25
"tb_c","parameter","e","InvSoftPlus",0.06,0.25
"tb_c","parameter","c","InvSoftPlus",0.05,0.25
"tb_c","init_state_tex_prior","s_l","Identity",0,0.1
"tb_c","init_state_tex_prior","lf_l","Identity",0,0.1
"tb_c","init_state_tex_prior","ls_l","Identity",0,0.1
"tb_c","init_state_tex_prior","i_l","Identity",0,0.1
"tb_d","parameter","lambda","InvSoftPlus",0.08,0.25
"tb_d","init_state_tex_prior","s_l","Identity",0,0.1
"tb_d","init_state_tex_prior","i_l","Identity",0,0.1
"tb_e","parameter","lambda","InvSoftPlus",0.08,0.25
"tb_e","parameter","a","InvSigmoid",0.25,0.25
"tb_e","parameter","c","InvSoftPlus",0.08,0.25
"tb_e","init_state_tex_prior","s_l","Identity",0,0.1
"tb_e","init_state_tex_prior","l_l","Identity",0,0.1
"tb_e","init_state_tex_prior","i_l","Identity",0,0.1
"tb_f","parameter","lambda","InvSoftPlus",0.08,0.25
"tb_f","parameter","b","InvSigmoid",0.35,0.25
"tb_f","parameter","c","InvSoftPlus",0.05,0.25
"tb_f","parameter","d","InvSoftPlus",0.14,0.25
"tb_f","init_state_tex_prior","s_l","Identity",0,0.1
"tb_f","init_state_tex_prior","ls_l","Identity",0,0.1
"tb_f","init_state_tex_prior","lf_l","Identity",0,0.1
"tb_f","init_state_tex_prior","i_l","Identity",0,0.1
"tb_g","parameter","lambda","InvSoftPlus",0.08,0.25
"tb_g","parameter","a","InvSigmoid",0.2,0.25
"tb_g","parameter","d","InvSoftPlus",0.14,0.25
"tb_g","parameter","e","InvSoftPlus",0.06,0.25
"tb_g","parameter","c","InvSoftPlus",0.05,0.25
"tb_g","init_state_tex_prior","s_l","Identity",0,0.1
"tb_g","init_state_tex_prior","lf_l","Identity",0,0.1
